iteration,prob_name,prim_res,dual_res,duality_gap,restart
1,AUG2D,1.000e+00,1.000e+02,-9.912e+05,0
2,AUG2D,2.000e+00,5.000e+01,-8.817e+04,0
3,AUG2D,2.600e+00,6.000e+01,-1.374e+06,0
4,AUG2D,3.000e+00,3.333e+01,-2.059e+05,0
5,AUG2D,3.286e+00,4.286e+01,-1.224e+06,0
6,AUG2D,3.500e+00,2.500e+01,-2.141e+05,0
7,AUG2D,3.667e+00,3.333e+01,-1.060e+06,0
8,AUG2D,3.800e+00,2.000e+01,-2.017e+05,0
9,AUG2D,3.909e+00,2.727e+01,-9.240e+05,0
10,AUG2D,2.826e-01,2.962e-05,-4.709e+05,1
11,AUG2D,1.437e-02,8.737e-06,-2.819e+04,0
12,AUG2D,7.114e-04,4.313e-07,-1.403e+03,1
13,AUG2D,9.218e-07,2.239e-08,-1.821e+00,0
14,AUG2D,1.192e-09,1.376e-10,-2.355e-03,1
15,AUG2D,4.547e-12,1.168e-10,-2.251e-06,0
16,AUG2D,3.638e-12,1.185e-10,8.107e-07,1
17,AUG2D,3.865e-12,2.683e-11,1.141e-07,0
18,AUG2D,3.411e-12,2.592e-11,9.779e-08,1
19,AUG2D,3.411e-12,2.615e-11,1.048e-07,0
20,AUG2D,3.411e-12,2.680e-11,1.076e-07,1
21,AUG2D,3.183e-12,2.527e-11,9.872e-08,0
22,AUG2D,3.581e-12,3.769e-11,1.038e-07,0
23,AUG2D,3.274e-12,5.718e-11,1.071e-07,0
24,AUG2D,3.373e-12,7.218e-11,1.071e-07,0
25,AUG2D,3.638e-12,8.895e-11,1.048e-07,0
iteration,prob_name,prim_res,dual_res,duality_gap,restart
1,AUG2DC,1.000e+00,9.967e+01,-9.870e+05,0
2,AUG2DC,1.947e+00,4.950e+01,-1.548e+05,0
3,AUG2DC,2.503e+00,5.980e+01,-1.427e+06,0
4,AUG2DC,2.846e+00,3.300e+01,-2.834e+05,0
5,AUG2DC,3.086e+00,4.271e+01,-1.289e+06,0
6,AUG2DC,3.248e+00,2.475e+01,-2.879e+05,0
7,AUG2DC,3.371e+00,3.322e+01,-1.123e+06,0
8,AUG2DC,3.456e+00,1.980e+01,-2.688e+05,0
9,AUG2DC,3.524e+00,2.718e+01,-9.832e+05,0
10,AUG2DC,2.951e-01,2.110e-05,-5.278e+05,1
11,AUG2DC,1.275e-02,9.418e-06,-2.710e+04,0
12,AUG2DC,5.360e-04,3.942e-07,-1.143e+03,1
13,AUG2DC,6.347e-07,1.729e-08,-1.356e+00,0
14,AUG2DC,7.509e-10,1.434e-10,-1.602e-03,1
15,AUG2DC,4.206e-12,1.357e-10,-1.618e-06,0
16,AUG2DC,4.093e-12,1.528e-10,2.389e-07,1
17,AUG2DC,4.434e-12,2.967e-11,-2.775e-07,0
18,AUG2DC,4.434e-12,2.746e-11,-2.934e-07,1
19,AUG2DC,4.434e-12,2.977e-11,-2.896e-07,0
20,AUG2DC,4.434e-12,4.945e-11,-2.817e-07,0
21,AUG2DC,4.320e-12,6.268e-11,-2.906e-07,0
22,AUG2DC,4.738e-12,7.346e-11,-2.729e-07,0
23,AUG2DC,4.320e-12,9.670e-11,-2.952e-07,0
24,AUG2DC,5.059e-12,1.124e-10,-2.780e-07,0
25,AUG2DC,4.320e-12,1.284e-10,-2.966e-07,0
iteration,prob_name,prim_res,dual_res,duality_gap,restart
1,AUG2DCQP,1.166e+00,9.979e+01,-9.908e+05,0
2,AUG2DCQP,2.371e+01,4.922e+01,-3.558e+05,0
3,AUG2DCQP,9.097e+00,5.936e+01,-1.489e+06,0
4,AUG2DCQP,2.562e+01,3.244e+01,-7.793e+05,0
5,AUG2DCQP,1.280e+01,4.207e+01,-1.513e+06,0
6,AUG2DCQP,2.508e+01,2.393e+01,-1.036e+06,0
7,AUG2DCQP,1.466e+01,3.227e+01,-1.528e+06,0
8,AUG2DCQP,2.408e+01,1.875e+01,-1.216e+06,0
9,AUG2DCQP,1.574e+01,2.605e+01,-1.555e+06,0
10,AUG2DCQP,1.998e+01,7.094e-01,-1.395e+06,1
11,AUG2DCQP,2.034e+01,1.684e+00,-1.715e+06,0
12,AUG2DCQP,1.992e+01,1.744e+00,-1.833e+06,1
13,AUG2DCQP,1.917e+01,1.518e+00,-1.873e+06,0
14,AUG2DCQP,1.811e+01,1.700e+00,-1.886e+06,0
15,AUG2DCQP,1.718e+01,1.940e+00,-1.895e+06,0
16,AUG2DCQP,1.645e+01,2.278e+00,-1.891e+06,0
