problem name,setup time,solve time,run time,primal residual,dual residual,duality gap,restart,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
RANDOM,2.98e-05,0.1587779,0.1588077,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,8.36e-05,0.6640429,0.6641265,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.36e-05,0.1945178,0.19455139999999999,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.76e-05,0.1856355,0.1856731,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,4.53e-05,0.2549162,0.2549615,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,5.22e-05,0.1806365,0.1806887,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.47e-05,0.1658199,0.1658546,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.74e-05,0.2549092,0.2549466,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.46e-05,0.1577227,0.1577573,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
RANDOM,3.48e-05,0.1671635,0.1671983,0.0,5.99205875554884e-07,-9.827464969632688e-07,4,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0223567,2.4884453,2.510802,4.179101509294014e-12,4.276579090856103e-13,-3.543682396411896e-07,12,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0251493,2.3518432,2.3769924999999996,4.179101509294014e-12,4.276579090856103e-13,-3.543682396411896e-07,12,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0194912,0.252589,0.2720802,3.183231456205249e-12,9.325873406851315e-13,-2.8870999813079834e-07,31,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0297749,0.3050185,0.3347934,3.183231456205249e-12,9.325873406851315e-13,-2.8870999813079834e-07,31,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0261569,0.2124918,0.23864870000000002,3.934452763587615e-11,1.2503775792538363e-10,-2.8759241104125977e-06,23,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
