problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
AUG2D,0.022272351,0.042058045,0.064330396,solved,2.9319431016361364e-07,0.008160942491842814,1.3470327075992827e-09,3.856761245780278e-05,-0.5783348376862705,0.17036789627084592,7.176111310274166e-07,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG2DC,0.021116673,0.090503579,0.111620252,solved,5.313179678445579e-07,0.01493355750499778,1.3388268271796733e-09,3.762991019112429e-05,-1.1331527410075068,0.30830879448364895,8.678254572091841e-07,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG2DCQP,0.017157739,1.508931718,1.5260894569999999,solved,1.0397068395946911e-05,0.0001557154871599583,1.8189079566965916e-05,0.2743615958491568,-2.0773785412311554,0.15073107521023701,0.09168931033552592,34,1700,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG2DQP,0.016942597,1.32325467,1.340197267,solved,1.0612235826904308e-06,1.5827784237199858e-05,1.3634960904990553e-08,0.00020782296594658883,0.2973355296999216,0.02246381169585294,0.07029700616515784,30,1525,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG3D,0.003726263,0.007514838,0.011241101,solved,1.773713176334013e-09,0.00044210119556468535,1.34712951904703e-09,0.00033577445265537033,1.917952204166795e-06,0.0005071055145829634,7.363301433220318e-07,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG3DC,0.004420488,0.007524747,0.011945235,solved,1.5837124944795278e-09,0.0004188520490350077,1.339033217639951e-09,0.0003541405456416212,1.5840953437873395e-06,0.0003433930443944192,7.549764741184209e-07,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG3DCQP,0.003560153,0.016117481,0.019677634,solved,1.3754142983435358e-06,0.31909066951189463,1.981549910268221e-06,0.4597117307128605,-0.0002282186746924708,0.03556699465468957,0.0005988682875942439,2,100,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
AUG3DQP,0.003447261,0.06041984,0.06386710100000001,solved,2.240570719454255e-08,0.0050421366959303065,3.238374536164501e-07,0.07287574965693774,1.3051908354100306e-07,2.6844887631964982e-05,0.0004630874682414391,2,100,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
BOYD1,0.093349958,124.631334121,124.724684079,maximum iterations reached,0.2534011010436554,7.825520833330635e-08,24.69806095537902,312.3448470644705,-668.9057533239297,1.987657708501029,0.4242244886595589,500,25000,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CONT-050,0.006082228,0.495865004,0.501947232,solved,1.705858972991107e-06,0.37907962801964296,8.642149236889885e-10,0.0008630067135400962,-3.7096939503527436e-06,0.3890236217737272,0.0006726901480023409,35,1775,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CONT-100,0.040142583,11.042690962,11.082833545,solved,4.693003581885346e-07,0.10428895759718952,8.395682638712067e-10,0.000839274535736468,1.814136972465974e-06,0.18768522248918207,0.004626301393935751,172,8625,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CONT-101,0.04608424,15.456744783,15.502829023,solved,6.510390759516275e-07,0.001049838426150946,8.806659717633145e-11,8.798373183192507e-05,2.4014785536818906e-06,0.9745173871835531,0.15334905411267644,223,11175,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
