problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
AUG2D,0.021413929,0.042207524,0.06362145300000001,solved,2.9319431016361364e-07,0.008160942491842814,1.3470327075992827e-09,3.856761245780278e-05,-0.5783348376862705,0.17036789627084592,9.751137656855343e-06,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG2DC,0.021012886,0.088370834,0.10938371999999999,solved,5.313179678445579e-07,0.01493355750499778,1.3388268271796733e-09,3.762991019112429e-05,-1.1331527410075068,0.30830879448364895,4.087532036037071e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG2DCQP,0.017182911,1.477036582,1.494219493,solved,1.0397068395946911e-05,0.0001557154871599583,1.8189079566965916e-05,0.2743615958491568,-2.0773785412311554,0.15073107521023701,0.12834151922530368,34,1700,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG2DQP,0.021148417,1.339464878,1.360613295,solved,1.0612235826904308e-06,1.5827784237199858e-05,1.3634960904990553e-08,0.00020782296594658883,0.2973355296999216,0.02246381169585294,0.11198228334447975,30,1525,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG3D,0.003636803,0.007488289,0.011125092,solved,1.773713176334013e-09,0.00044210119556468535,1.34712951904703e-09,0.00033577445265537033,1.917952204166795e-06,0.0005071055145829634,1.3616039197079863e-06,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG3DC,0.003915426,0.007510539,0.011425965,solved,1.5837124944795278e-09,0.0004188520490350077,1.339033217639951e-09,0.0003541405456416212,1.5840953437873395e-06,0.0003433930443944192,1.232971111200866e-06,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG3DCQP,0.003666424,0.016388376,0.0200548,solved,1.3754142983435358e-06,0.31909066951189463,1.981549910268221e-06,0.4597117307128605,-0.0002282186746924708,0.03556699465468957,0.0007405758969637709,2,100,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
AUG3DQP,0.034501084,0.016346896,0.05084798,solved,2.240570719454255e-08,0.0050421366959303065,3.238374536164501e-07,0.07287574965693774,1.3051908354100306e-07,2.6844887631964982e-05,0.0005413469235355543,2,100,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
BOYD1,0.096192574,464.443946899,464.540139473,solved,0.05753591783890073,1.550292968749593e-08,0.07901586518958457,0.9992782982373832,-2.363526906287508,0.0070233228460017455,0.7219224177144742,1863,93150,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CONT-050,0.005894228,0.470390307,0.476284535,solved,1.705858972991107e-06,0.37907962801964296,8.642149236889885e-10,0.0008630067135400962,-3.7096939503527436e-06,0.3890236217737272,0.0007217810165319225,35,1775,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CONT-100,0.042626366,11.031911694,11.07453806,solved,4.693003581885346e-07,0.10428895759718952,8.395682638712067e-10,0.000839274535736468,1.814136972465974e-06,0.18768522248918207,0.010686590002316388,172,8625,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CONT-101,0.095934361,15.385266062,15.481200422999999,solved,6.510390759516275e-07,0.001049838426150946,8.806659717633145e-11,8.798373183192507e-05,2.4014785536818906e-06,0.9745173871835531,6.541628170330755,223,11175,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP1_L,1.271601336,49.908868341,51.180469677000005,solved,6.998269645727081e-06,0.1882289774890853,0.007739057546966185,0.06346714231035484,-22.959303229564775,0.10560390504015123,0.40948116012654306,168,8400,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP1_M,0.005355575,0.133609828,0.13896540300000002,solved,6.439011063473256e-06,0.9198587218331781,0.0004862270140165176,0.040744283184908414,-0.013070916291326284,0.006009556886908333,0.005617954439586972,12,625,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP1_S,0.000186592,0.002175354,0.002361946,solved,2.6524925324401887e-06,0.37892750437638867,0.0008509451113144782,0.759012902550827,-0.0008419206569669768,0.036317177886000813,9.771602828559942e-06,8,425,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
