problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
AUG2D,0.021911643,0.042419288,0.06433093100000001,solved,2.9319431016361364e-07,0.008160942491842814,1.3470327075992827e-09,3.856761245780278e-05,-0.5783348376862705,0.17036789627084592,7.237501813508616e-07,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG2DC,0.057438545,0.042317066,0.099755611,solved,5.313179678445579e-07,0.01493355750499778,1.3388268271796733e-09,3.762991019112429e-05,-1.1331527410075068,0.30830879448364895,8.665044668736731e-07,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG2DCQP,0.017260063,1.516139114,1.533399177,solved,1.0397068395946911e-05,0.0001557154871599583,1.8189079566965916e-05,0.2743615958491568,-2.0773785412311554,0.15073107521023701,0.08933885045322597,34,1700,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG2DQP,0.021261799,1.357301955,1.378563754,solved,1.0612235826904308e-06,1.5827784237199858e-05,1.3634960904990553e-08,0.00020782296594658883,0.2973355296999216,0.02246381169585294,0.08477635106656016,30,1525,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG3D,0.003679134,0.007454128,0.011133262,solved,1.773713176334013e-09,0.00044210119556468535,1.34712951904703e-09,0.00033577445265537033,1.917952204166795e-06,0.0005071055145829634,7.286749602697833e-07,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG3DC,0.003939526,0.007308758,0.011248284,solved,1.5837124944795278e-09,0.0004188520490350077,1.339033217639951e-09,0.0003541405456416212,1.5840953437873395e-06,0.0003433930443944192,7.401114686824917e-07,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG3DCQP,0.003793595,0.016392367,0.020185962000000002,solved,1.3754142983435358e-06,0.31909066951189463,1.981549910268221e-06,0.4597117307128605,-0.0002282186746924708,0.03556699465468957,0.0006200208883445418,2,100,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
AUG3DQP,0.045568248,0.016344727,0.061912974999999995,solved,2.240570719454255e-08,0.0050421366959303065,3.238374536164501e-07,0.07287574965693774,1.3051908354100306e-07,2.6844887631964982e-05,0.0004647754741938028,2,100,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
BOYD1,0.097239916,463.70079208,463.79803199599996,solved,0.05753591783890073,1.550292968749593e-08,0.07901586518958457,0.9992782982373832,-2.363526906287508,0.0070233228460017455,0.443199860977033,1863,93150,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CONT-050,0.005954918,0.500868432,0.50682335,solved,1.705858972991107e-06,0.37907962801964296,8.642149236889885e-10,0.0008630067135400962,-3.7096939503527436e-06,0.3890236217737272,0.0006514780616464329,35,1775,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CONT-100,0.040494584,11.035280579,11.075775163,solved,4.693003581885346e-07,0.10428895759718952,8.395682638712067e-10,0.000839274535736468,1.814136972465974e-06,0.18768522248918207,0.00462299760336925,172,8625,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CONT-101,0.046488794,15.453578652000001,15.500067446000001,solved,6.510390759516275e-07,0.001049838426150946,8.806659717633145e-11,8.798373183192507e-05,2.4014785536818906e-06,0.9745173871835531,0.15415556774899747,223,11175,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP1_L,1.298615103,49.817023183,51.11563828600001,solved,6.998269645727081e-06,0.1882289774890853,0.007739057546966185,0.06346714231035484,-22.959303229564775,0.10560390504015123,0.3823734798082486,168,8400,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP1_M,0.005381625,0.105989893,0.111371518,solved,6.439011063473256e-06,0.9198587218331781,0.0004862270140165176,0.040744283184908414,-0.013070916291326284,0.006009556886908333,0.005535458169242402,12,625,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP1_S,0.000183311,0.002188474,0.002371785,solved,2.6524925324401887e-06,0.37892750437638867,0.0008509451113144782,0.759012902550827,-0.0008419206569669768,0.036317177886000813,8.404177186233753e-06,8,425,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP2_L,0.822347442,7.6986218520000005,8.520969294,solved,6.054662176221107e-06,0.8649517381166195,6.960751203468258e-05,0.0005219334046402073,-0.0026807686271342643,1.638605102312615e-05,0.10258474458410236,33,1650,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP2_M,0.003706365,0.019746359,0.023452724,solved,3.6776095662963433e-06,0.5253727947039448,9.86873119352212e-05,0.008783246728065852,-0.0007886774837970734,0.00048080706130164755,0.0010131734042961458,3,175,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP2_S,0.000167431,0.000354032,0.000521463,solved,1.2450216137444721e-08,0.000944889688297231,2.4171390260828038e-05,0.024104147804175056,-1.129508382291533e-05,0.0006953867262168533,2.4984740057050045e-06,1,75,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP3_L,1.612593004,79.905794611,81.51838761500001,solved,6.93859729104907e-06,0.9912278709939377,0.009565254231084966,0.0789708511582229,-72.05685096750953,0.31136535824449557,0.037633200059913184,240,12000,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP3_M,0.006909596,0.441103371,0.44801296700000004,solved,5.32068541565988e-07,0.0726971716548469,0.008258332203936902,0.6831670621142514,-0.05290418164804578,0.019409682864957138,0.0007765913712952022,60,3000,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
CVXQP3_S,0.000217221,0.000606524,0.000823745,solved,5.7154576568689595e-06,0.8164939437645373,0.0005429047784808032,0.48656111364899396,-0.001562199839099776,0.0653972189008057,3.365605657245702e-06,2,100,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DPKLO1,0.000261432,0.000538674,0.0008001060000000001,solved,6.524692980467277e-08,0.0017383502486469674,8.613375387015631e-08,0.06373403932964959,9.837812046109562e-07,0.5653289740454245,6.176554160984446e-06,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DTOC3,0.010070926,0.208610823,0.218681749,solved,3.1691644863940382e-09,0.00018924342169108273,5.680881112746228e-13,5.645323483916392e-07,-0.00021497689698435352,0.4559185905313387,0.00011378541500672513,7,350,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUAL1,0.000345512,0.000838996,0.001184508,solved,4.2172907670453484e-09,0.0012474421083259685,1.1735761827320929e-07,0.10780362336564185,6.908460047777565e-08,0.06661664773476576,9.610328815965014e-06,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
