problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
AUG2D,0.023375369,0.042455208,0.065830577,solved,2.9319431016361364e-07,1.3470327075992827e-09,-0.5783348376862705,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DC,0.022091649,0.042429627,0.064521276,solved,5.313179678445579e-07,1.3388268271796733e-09,-1.1331527410075068,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DCQP,0.017476369,1.443630767,1.4611071359999999,solved,1.0397068395946911e-05,1.8189079566965916e-05,-2.0773785412311554,34,1700,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DQP,0.017271667,1.301783097,1.3190547639999999,solved,1.0612235826904308e-06,1.3634960904990553e-08,0.2973355296999216,30,1525,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3D,0.003426203,0.007336989,0.010763192000000001,solved,1.773713176334013e-09,1.34712951904703e-09,1.917952204166795e-06,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DC,0.003459993,0.00742379,0.010883783000000001,solved,1.5837124944795278e-09,1.339033217639951e-09,1.5840953437873395e-06,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DCQP,0.003407573,0.015843567,0.01925114,solved,1.3754142983435358e-06,1.981549910268221e-06,-0.0002282186746924708,2,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DQP,0.003386313,0.016138929,0.019525241999999998,solved,2.240570719454255e-08,3.238374536164501e-07,1.3051908354100306e-07,2,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BOYD1,0.097289329,124.206602439,124.303891768,maximum iterations reached,0.2534011010436554,24.69806095537902,-668.9057533239297,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CONT-050,0.005766791,0.453046531,0.45881332199999997,solved,1.705858972991107e-06,8.642149236889885e-10,-3.7096939503527436e-06,35,1775,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CONT-100,0.037781037,11.026805044,11.064586081,solved,4.693003581885346e-07,8.395682638712067e-10,1.814136972465974e-06,172,8625,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CONT-101,0.046183066,15.432906517,15.479089582999999,solved,6.510390759516275e-07,8.806659717633145e-11,2.4014785536818906e-06,223,11175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CVXQP1_L,1.205382887,49.627145287,50.832528174,solved,6.998269645727081e-06,0.007739057546966185,-22.959303229564775,168,8400,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
