problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
AUG2D,0.022173053,0.042243873,0.064416926,solved,2.9319431016361364e-07,1.3470327075992827e-09,-0.5783348376862705,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DC,0.022215434,0.042110831,0.064326265,solved,5.313179678445579e-07,1.3388268271796733e-09,-1.1331527410075068,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DCQP,0.017138501,1.440543964,1.457682465,solved,1.0397068395946911e-05,1.8189079566965916e-05,-2.0773785412311554,34,1700,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG2DQP,0.017118501,1.301401517,1.3185200179999998,solved,1.0612235826904308e-06,1.3634960904990553e-08,0.2973355296999216,30,1525,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3D,0.003375542,0.007177896,0.010553438,solved,1.773713176334013e-09,1.34712951904703e-09,1.917952204166795e-06,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DC,0.003442832,0.007177646,0.010620478,solved,1.5837124944795278e-09,1.339033217639951e-09,1.5840953437873395e-06,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DCQP,0.003444572,0.015623991,0.019068563,solved,1.3754142983435358e-06,1.981549910268221e-06,-0.0002282186746924708,2,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DQP,0.003395092,0.015884252,0.019279344,solved,2.240570719454255e-08,3.238374536164501e-07,1.3051908354100306e-07,2,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BOYD1,0.093525363,124.132614904,124.22614026699999,maximum iterations reached,0.2534011010436554,24.69806095537902,-668.9057533239297,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BOYD2,0.115620389,138.098741573,138.214361962,maximum iterations reached,442.0101342078643,0.08150430314319687,390024.4976369439,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
